;; -*- coding:utf-8 -*-
[Comment]

[Parameter]
first-char=zyxwvutsrqponmlkjihgfedcba
total-char=;'abcdefghijklmnopqrstuvwxyz
lib=cyim-cy
page-length=8

[Punctuation]
{ 『
| ÷
} 』
~ ～
` ・
! ！
# ＃
$ ￥
% ％
& ※
( （
) ）
* ×
+ ＋
, ，
- －
. 。
\ 、
: ：
; ；
< 《
= ＝
> 》
? ？
@ ◎
[ 【
] 】
^ ……
_ ──
" “ ”
' ‘ ’

[Table]
a 啊
b 不
ba 吧
baa 别
baae 卟
baau 呗 蹦 嘣
baba 蹦蹦
babe 别被
babg 鄙薄
babh 别本
babj 别把
babl 别班
babm 别不
baca 别吃
bacc 别测
bacg 别藏
bach 别裁
baci 别处
bacj 别扯
back 别车
baco 别称
bacr 蹦床
bacs 别传
bacw 别穿
bacx 蹦出
bacy 别错
bada 吧嗒
badc 别对
badd 蹦迪
bade 别调
badf 别点
badh 别都
badi 别逗
badj 别打
badk 蹦到
badl 别动
bado 别等
bads 别当
bady 别的
bae 啵
baei 踣
baeu 咇
bafa 卟吩
bafb 别费
bafl 鄙夫
bafn 别发
bafr 别放
bafs 别付
bafu 别分
baga 别跟
bagb 别改
bagd 别国
bagg 别归
bagh 别过
bagi 别馆
bagj 别搞
bagl 别干
bago 别管
bagr 蹦高
bags 别个
bagt 别关
bagv 别给
bagw 别怪
baha 别号
bahe 跋扈
bahi 别画
baho 别和
bahp 别后
baht 别火
bahv 别红
bahw 别慌
bai 跋
baia 哺
baiu 吡 哔 跸
baja 吧唧
bajd 别具
baje 别讲
bajf 蹦极
baji 别急
bajj 别接
bajl 别进
bajn 别嫁
bajp 跛脚
bajr 别将
bajs 别集
bajw 别家
baka 别哭
bakf 别卡
bakh 别克
bakj 别扣
bakl 别开
bako 别看
bala 哔哩
balb 别录
balc 别浪
bald 吧里
bale 别论
balg 鄙劣
balh 别老
balj 别来
ball 别理
balo 别乱
balr 别离
bals 鄙俚
balt 别类
balv 别绿
balw 别懒
balx 别了
bama 别骂
bamg 别蒙
bamh 别卖
bami 别名
bamj 别摸
bamu 别买
bamw 别忙
bana 吡喃
band 吧内
banj 别扭
banl 别弄
bann 吧女
banq 别闹
bans 别拿
bao 叭
baou 趵
bapa 别跑
bapc 别派
bape 别评
bapj 别拍
bapm 别碰
bapw 别怕
baqd 别瞧
baqe 别请
baqh 别求
baqj 别抢
baqk 别切
baqo 别气
baqr 鄙弃
baqu 别去
baqw 别情
bare 别让
barg 别惹
barj 别扔
bark 别软
bars 别人
baru 哺乳
basb 别刷
basc 跋涉
basd 别墅
base 别说 鄙视 别试
basf 别上
basi 别删
basj 别手
bask 别是
basm 别死
baso 别生
bass 别傻
bast 别送
basu 别杀
basx 别收
bata 别听 蹦跳 别踢
batc 吧台
batd 别贴
bate 别谈
batj 别提
batm 别太
batp 跛腿
bats 别停
batu 别趟
bau 鄙 吧
bauo 跛
bava 别啊
bavi 蹦儿
bavj 别按
bavm 别有
bavw 别安
bawa 哺喂
bawi 吧务
bawj 别挖
bawl 别玩 别无
bawm 别歪
bawq 别问
bawr 别忘
bawt 别为
baxa 别吓
baxe 别写
baxf 别想
baxh 别下
